127.0.0.1 - - [20/Mar/2013:17:20:05 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [20/Mar/2013:17:21:07 -0300] "GET /Sistema2/hora.jsp HTTP/1.1" 200 644
0:0:0:0:0:0:0:1 - - [20/Mar/2013:17:21:07 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Mar/2013:17:22:13 -0300] "GET /Sistema2/hora.jsp HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [20/Mar/2013:17:22:13 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Mar/2013:17:22:15 -0300] "GET /Sistema2/hora.jsp HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [20/Mar/2013:17:22:15 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Mar/2013:17:22:39 -0300] "GET /Sistema2/hora.jsp HTTP/1.1" 200 648
0:0:0:0:0:0:0:1 - - [20/Mar/2013:17:22:39 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Mar/2013:17:23:06 -0300] "GET /Sistema2/hora.jsp HTTP/1.1" 200 644
0:0:0:0:0:0:0:1 - - [20/Mar/2013:17:23:06 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Mar/2013:17:23:18 -0300] "GET /Sistema2/hora.jsp HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [20/Mar/2013:17:23:18 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Mar/2013:17:23:20 -0300] "GET /Sistema2/hora.jsp HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [20/Mar/2013:17:23:20 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Mar/2013:17:23:40 -0300] "GET /Sistema2/hora.jsp HTTP/1.1" 200 646
0:0:0:0:0:0:0:1 - - [20/Mar/2013:17:23:40 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Mar/2013:17:23:41 -0300] "GET /Sistema2/hora.jsp HTTP/1.1" 200 646
0:0:0:0:0:0:0:1 - - [20/Mar/2013:17:23:41 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Mar/2013:17:23:59 -0300] "GET /Sistema2/hora.jsp HTTP/1.1" 200 648
0:0:0:0:0:0:0:1 - - [20/Mar/2013:17:23:59 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Mar/2013:17:24:47 -0300] "GET /Sistema2/hora.jsp HTTP/1.1" 200 650
0:0:0:0:0:0:0:1 - - [20/Mar/2013:17:24:48 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Mar/2013:17:29:15 -0300] "GET /Sistema2/hora.jsp HTTP/1.1" 500 2900
0:0:0:0:0:0:0:1 - - [20/Mar/2013:17:29:15 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Mar/2013:17:29:53 -0300] "GET /Sistema2/hora.jsp HTTP/1.1" 200 648
0:0:0:0:0:0:0:1 - - [20/Mar/2013:17:29:53 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Mar/2013:17:30:12 -0300] "GET /Sistema2/hora.jsp HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [20/Mar/2013:17:30:13 -0300] "GET /favicon.ico HTTP/1.1" 404 973
