127.0.0.1 - - [03/May/2013:12:48:02 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [03/May/2013:12:48:44 -0300] "GET /Sistema2/index.html HTTP/1.1" 200 520
0:0:0:0:0:0:0:1 - - [03/May/2013:12:48:46 -0300] "GET /Sistema2/images/holo.ico HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [03/May/2013:12:48:49 -0300] "GET /Sistema2/login.jsp HTTP/1.1" 200 6067
0:0:0:0:0:0:0:1 - - [03/May/2013:12:48:52 -0300] "GET /Sistema2/menu.css HTTP/1.1" 200 3144
0:0:0:0:0:0:0:1 - - [03/May/2013:12:48:52 -0300] "GET /Sistema2/imagens/kitt.gif HTTP/1.1" 200 958
0:0:0:0:0:0:0:1 - - [03/May/2013:12:48:52 -0300] "GET /Sistema2/imagens/px1.gif HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [03/May/2013:12:48:52 -0300] "GET /Sistema2/imagens/logosys.jpg HTTP/1.1" 200 2056
0:0:0:0:0:0:0:1 - - [03/May/2013:12:48:53 -0300] "GET /Sistema2/imagens/dia.png HTTP/1.1" 200 27717
0:0:0:0:0:0:0:1 - - [03/May/2013:12:48:53 -0300] "GET /Sistema2/imagens/cadastro.png HTTP/1.1" 200 31447
0:0:0:0:0:0:0:1 - - [03/May/2013:12:48:53 -0300] "GET /Sistema2/imagens/contribuicao.png HTTP/1.1" 200 30706
0:0:0:0:0:0:0:1 - - [03/May/2013:12:48:53 -0300] "GET /Sistema2/imagens/caixa.png HTTP/1.1" 200 30438
0:0:0:0:0:0:0:1 - - [03/May/2013:12:48:53 -0300] "GET /Sistema2/imagens/website.png HTTP/1.1" 200 31085
0:0:0:0:0:0:0:1 - - [03/May/2013:12:48:53 -0300] "GET /Sistema2/imagens/relatorios.png HTTP/1.1" 200 30385
0:0:0:0:0:0:0:1 - - [03/May/2013:12:48:53 -0300] "GET /Sistema2/imagens/juridico.png HTTP/1.1" 200 30648
0:0:0:0:0:0:0:1 - - [03/May/2013:12:48:53 -0300] "GET /Sistema2/imagens/saude.png HTTP/1.1" 200 30678
0:0:0:0:0:0:0:1 - - [03/May/2013:12:48:53 -0300] "GET /Sistema2/imagens/cadeado.gif HTTP/1.1" 200 2161
